bea_code,windc_label,windc_aggr_label,category,description,description_code
336320,eee_mot,mot,goods,Motor vehicle electrical and electronic equipment manufacturing,Motor vehicle electrical and electronic equipment manufacturing (336320)
336350,tpw_mot,mot,goods,Motor vehicle transmission and power train parts manufacturing,Motor vehicle transmission and power train parts manufacturing (336350)
336360,trm_mot,mot,goods,Motor vehicle seating and interior trim manufacturing,Motor vehicle seating and interior trim manufacturing (336360)
336370,stm_mot,mot,goods,Motor vehicle metal stamping,Motor vehicle metal stamping (336370)
336390,omv_mot,mot,goods,Other Motor Vehicle Parts Manufacturing,Other Motor Vehicle Parts Manufacturing (336390)
3363A0,brk_mot,mot,goods,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing","Motor vehicle steering, suspension component (except spring), and brake systems manufacturing (3363A0)"
336411,air_ote,ote,goods,Aircraft manufacturing,Aircraft manufacturing (336411)
336412,aen_ote,ote,goods,Aircraft engine and engine parts manufacturing,Aircraft engine and engine parts manufacturing (336412)
336413,oar_ote,ote,goods,Other aircraft parts and auxiliary equipment manufacturing,Other aircraft parts and auxiliary equipment manufacturing (336413)
336414,mis_ote,ote,goods,Guided missile and space vehicle manufacturing,Guided missile and space vehicle manufacturing (336414)
33641A,pro_ote,ote,goods,Propulsion units and parts for space vehicles and guided missiles,Propulsion units and parts for space vehicles and guided missiles (33641A)
336500,rrd_ote,ote,goods,Railroad rolling stock manufacturing,Railroad rolling stock manufacturing (336500)
336611,shp_ote,ote,goods,Ship building and repairing,Ship building and repairing (336611)
336612,bot_ote,ote,goods,Boat building,Boat building (336612)
336991,mcl_ote,ote,goods,"Motorcycle, bicycle, and parts manufacturing","Motorcycle, bicycle, and parts manufacturing (336991)"
336992,mlt_ote,ote,goods,"Military armored vehicle, tank, and tank component manufacturing","Military armored vehicle, tank, and tank component manufacturing (336992)"
336999,otm_ote,ote,goods,All other transportation equipment manufacturing,All other transportation equipment manufacturing (336999)
337110,cab_fpd,fpd,goods,Wood kitchen cabinet and countertop manufacturing,Wood kitchen cabinet and countertop manufacturing (337110)
337121,uph_fpd,fpd,goods,Upholstered household furniture manufacturing,Upholstered household furniture manufacturing (337121)
337122,nup_fpd,fpd,goods,Nonupholstered wood household furniture manufacturing,Nonupholstered wood household furniture manufacturing (337122)
337127,ifm_fpd,fpd,goods,Institutional furniture manufacturing,Institutional furniture manufacturing (337127)
33712N,ohn_fpd,fpd,goods,Other household nonupholstered furniture,Other household nonupholstered furniture (33712N)
337215,shv_fpd,fpd,goods,"Showcase, partition, shelving, and locker manufacturing","Showcase, partition, shelving, and locker manufacturing (337215)"
33721A,off_fpd,fpd,goods,Office furniture and custom architectural woodwork and millwork manufacturing,Office furniture and custom architectural woodwork and millwork manufacturing (33721A)
337900,ofp_fpd,fpd,goods,Other furniture related product manufacturing,Other furniture related product manufacturing (337900)
339112,smi_mmf,mmf,goods,Surgical and medical instrument manufacturing,Surgical and medical instrument manufacturing (339112)
339113,sas_mmf,mmf,goods,Surgical appliance and supplies manufacturing,Surgical appliance and supplies manufacturing (339113)
339114,dnt_mmf,mmf,goods,Dental equipment and supplies manufacturing,Dental equipment and supplies manufacturing (339114)
339115,oph_mmf,mmf,goods,Ophthalmic goods manufacturing,Ophthalmic goods manufacturing (339115)
339116,dlb_mmf,mmf,goods,Dental laboratories,Dental laboratories (339116)
339910,jwl_mmf,mmf,goods,Jewelry and silverware manufacturing,Jewelry and silverware manufacturing (339910)
339920,ath_mmf,mmf,goods,Sporting and athletic goods manufacturing,Sporting and athletic goods manufacturing (339920)
339930,toy_mmf,mmf,goods,"Doll, toy, and game manufacturing","Doll, toy, and game manufacturing (339930)"
339940,ofm_mmf,mmf,goods,Office supplies (except paper) manufacturing,Office supplies (except paper) manufacturing (339940)
339950,sgn_mmf,mmf,goods,Sign manufacturing,Sign manufacturing (339950)
339990,omm_mmf,mmf,goods,All other miscellaneous manufacturing,All other miscellaneous manufacturing (339990)
311111,dog_fbp,fbp,goods,Dog and cat food manufacturing,Dog and cat food manufacturing (311111)
311119,oaf_fbp,fbp,goods,Other animal food manufacturing,Other animal food manufacturing (311119)
311210,flr_fbp,fbp,goods,Flour milling and malt manufacturing,Flour milling and malt manufacturing (311210)
311221,wet_fbp,fbp,goods,Wet corn milling,Wet corn milling (311221)
311225,fat_fbp,fbp,goods,Fats and oils refining and blending,Fats and oils refining and blending (311225)
311224,soy_fbp,fbp,goods,Soybean and other oilseed processing,Soybean and other oilseed processing (311224)
311230,brk_fbp,fbp,goods,Breakfast cereal manufacturing,Breakfast cereal manufacturing (311230)
311300,sug_fbp,fbp,goods,Sugar and confectionery product manufacturing,Sugar and confectionery product manufacturing (311300)
311410,fzn_fbp,fbp,goods,Frozen food manufacturing,Frozen food manufacturing (311410)
311420,can_fbp,fbp,goods,"Fruit and vegetable canning, pickling, and drying","Fruit and vegetable canning, pickling, and drying (311420)"
311513,chs_fbp,fbp,goods,Cheese manufacturing,Cheese manufacturing (311513)
311514,dry_fbp,fbp,goods,"Dry, condensed, and evaporated dairy product manufacturing","Dry, condensed, and evaporated dairy product manufacturing (311514)"
31151A,mlk_fbp,fbp,goods,Fluid milk and butter manufacturing,Fluid milk and butter manufacturing (31151A)
311520,ice_fbp,fbp,goods,Ice cream and frozen dessert manufacturing,Ice cream and frozen dessert manufacturing (311520)
311615,chk_fbp,fbp,goods,Poultry processing,Poultry processing (311615)
31161A,asp_fbp,fbp,goods,"Animal (except poultry) slaughtering, rendering, and processing","Animal (except poultry) slaughtering, rendering, and processing (31161A)"
311700,sea_fbp,fbp,goods,Seafood product preparation and packaging,Seafood product preparation and packaging (311700)
311810,brd_fbp,fbp,goods,Bread and bakery product manufacturing,Bread and bakery product manufacturing (311810)
3118A0,cok_fbp,fbp,goods,"Cookie, cracker, pasta, and tortilla manufacturing","Cookie, cracker, pasta, and tortilla manufacturing (3118A0)"
311910,snk_fbp,fbp,goods,Snack food manufacturing,Snack food manufacturing (311910)
311920,tea_fbp,fbp,goods,Coffee and tea manufacturing,Coffee and tea manufacturing (311920)
311930,syr_fbp,fbp,goods,Flavoring syrup and concentrate manufacturing,Flavoring syrup and concentrate manufacturing (311930)
311940,spc_fbp,fbp,goods,Seasoning and dressing manufacturing,Seasoning and dressing manufacturing (311940)
311990,ofm_fbp,fbp,goods,All other food manufacturing,All other food manufacturing (311990)
312110,pop_fbp,fbp,goods,Soft drink and ice manufacturing,Soft drink and ice manufacturing (312110)
312120,ber_fbp,fbp,goods,Breweries,Breweries (312120)
312130,wne_fbp,fbp,goods,Wineries,Wineries (312130)
312140,why_fbp,fbp,goods,Distilleries,Distilleries (312140)
312200,cig_fbp,fbp,goods,Tobacco product manufacturing,Tobacco product manufacturing (312200)
313100,fyt_tex,tex,goods,"Fiber, yarn, and thread mills","Fiber, yarn, and thread mills (313100)"
313200,fml_tex,tex,goods,Fabric mills,Fabric mills (313200)
313300,txf_tex,tex,goods,Textile and fabric finishing and fabric coating mills,Textile and fabric finishing and fabric coating mills (313300)
314110,rug_tex,tex,goods,Carpet and rug mills,Carpet and rug mills (314110)
314120,lin_tex,tex,goods,Curtain and linen mills,Curtain and linen mills (314120)
314900,otp_tex,tex,goods,Other textile product mills,Other textile product mills (314900)
315000,app_alt,alt,goods,Apparel manufacturing,Apparel manufacturing (315000)
316000,lea_alt,alt,goods,Leather and allied product manufacturing,Leather and allied product manufacturing (316000)
322110,plp_ppd,ppd,goods,Pulp mills,Pulp mills (322110)
322120,ppm_ppd,ppd,goods,Paper mills,Paper mills (322120)
322130,pbm_ppd,ppd,goods,Paperboard mills,Paperboard mills (322130)
322210,pbc_ppd,ppd,goods,Paperboard container manufacturing,Paperboard container manufacturing (322210)
322220,ppb_ppd,ppd,goods,Paper Bag and Coated and Treated Paper Manufacturing,Paper Bag and Coated and Treated Paper Manufacturing (322220)
322230,sta_ppd,ppd,goods,Stationery product manufacturing,Stationery product manufacturing (322230)
322291,toi_ppd,ppd,goods,Sanitary paper product manufacturing,Sanitary paper product manufacturing (322291)
322299,opp_ppd,ppd,goods,All other converted paper product manufacturing,All other converted paper product manufacturing (322299)
323110,pri_pri,pri,goods,Printing,Printing (323110)
323120,sap_pri,pri,goods,Support activities for printing,Support activities for printing (323120)
324110,ref_pet,pet,goods,Petroleum refineries,Petroleum refineries (324110)
324121,pav_pet,pet,goods,Asphalt paving mixture and block manufacturing,Asphalt paving mixture and block manufacturing (324121)
324122,shn_pet,pet,goods,Asphalt shingle and coating materials manufacturing,Asphalt shingle and coating materials manufacturing (324122)
324190,oth_pet,pet,goods,Other petroleum and coal products manufacturing,Other petroleum and coal products manufacturing (324190)
325110,ptr_che,che,goods,Petrochemical manufacturing,Petrochemical manufacturing (325110)
325120,igm_che,che,goods,Industrial gas manufacturing,Industrial gas manufacturing (325120)
325130,sdp_che,che,goods,Synthetic dye and pigment manufacturing,Synthetic dye and pigment manufacturing (325130)
325180,obi_che,che,goods,Other Basic Inorganic Chemical Manufacturing,Other Basic Inorganic Chemical Manufacturing (325180)
325190,obo_che,che,goods,Other basic organic chemical manufacturing,Other basic organic chemical manufacturing (325190)
325211,pmr_che,che,goods,Plastics material and resin manufacturing,Plastics material and resin manufacturing (325211)
3252A0,srf_che,che,goods,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing (3252A0)
325411,mbm_che,che,goods,Medicinal and botanical manufacturing,Medicinal and botanical manufacturing (325411)
325412,phm_che,che,goods,Pharmaceutical preparation manufacturing,Pharmaceutical preparation manufacturing (325412)
325413,inv_che,che,goods,In-vitro diagnostic substance manufacturing,In-vitro diagnostic substance manufacturing (325413)
325414,bio_che,che,goods,Biological product (except diagnostic) manufacturing,Biological product (except diagnostic) manufacturing (325414)
325310,fmf_che,che,goods,Fertilizer manufacturing,Fertilizer manufacturing (325310)
325320,pag_che,che,goods,Pesticide and other agricultural chemical manufacturing,Pesticide and other agricultural chemical manufacturing (325320)
325510,pnt_che,che,goods,Paint and coating manufacturing,Paint and coating manufacturing (325510)
325520,adh_che,che,goods,Adhesive manufacturing,Adhesive manufacturing (325520)
325610,sop_che,che,goods,Soap and cleaning compound manufacturing,Soap and cleaning compound manufacturing (325610)
325620,toi_che,che,goods,Toilet preparation manufacturing,Toilet preparation manufacturing (325620)
325910,pri_che,che,goods,Printing ink manufacturing,Printing ink manufacturing (325910)
3259A0,och_che,che,goods,All other chemical product and preparation manufacturing,All other chemical product and preparation manufacturing (3259A0)
326110,plm_pla,pla,goods,Plastics packaging materials and unlaminated film and sheet manufacturing,Plastics packaging materials and unlaminated film and sheet manufacturing (326110)
326120,ppp_pla,pla,goods,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing (326120)"
326130,lam_pla,pla,goods,"Laminated plastics plate, sheet (except packaging), and shape manufacturing","Laminated plastics plate, sheet (except packaging), and shape manufacturing (326130)"
326140,fom_pla,pla,goods,Polystyrene foam product manufacturing,Polystyrene foam product manufacturing (326140)
326150,ure_pla,pla,goods,Urethane and other foam product (except polystyrene) manufacturing,Urethane and other foam product (except polystyrene) manufacturing (326150)
326160,bot_pla,pla,goods,Plastics bottle manufacturing,Plastics bottle manufacturing (326160)
326190,opm_pla,pla,goods,Other plastics product manufacturing,Other plastics product manufacturing (326190)
326220,rbr_pla,pla,goods,Rubber and plastics hoses and belting manufacturing,Rubber and plastics hoses and belting manufacturing (326220)
326290,orb_pla,pla,goods,Other rubber product manufacturing,Other rubber product manufacturing (326290)
423100,mtv_wht,wht,goods,Motor vehicle and motor vehicle parts and supplies,Motor vehicle and motor vehicle parts and supplies (423100)
423400,pce_wht,wht,goods,Professional and commercial equipment and supplies,Professional and commercial equipment and supplies (423400)
423600,hha_wht,wht,goods,Household appliances and electrical and electronic goods,Household appliances and electrical and electronic goods (423600)
